observer,scene,condition_1,condition_2,selection
observer6,TrafficLight,H_1280x720_bright_near,L_1920x1080_bright_far,0
observer6,PUBG_p2,H_1920x1080_bright_near,M_3840x2160_bright_far,0
observer6,TrafficLight,H_1920x1080_bright_near,L_3840x2160_bright_far,1
observer6,SolLevante_p1,M_1280x720_bright_near,L_1280x720_bright_far,1
observer6,TrafficLight,M_1280x720_bright_near,L_1280x720_bright_far,0
observer6,RushPixar,M_1280x720_bright_near,L_1920x1080_bright_far,0
observer6,Bistro,M_1280x720_bright_near,L_1280x720_bright_far,0
observer6,TrafficLight,H_1920x1080_bright_near,H_1920x1080_bright_far,0
observer6,PUBG_p2,L_1280x720_bright_near,L_1920x1080_bright_far,0
observer6,Bonfire,H_1280x720_bright_near,H_1280x720_bright_far,1
observer6,RocketLeague,L_1920x1080_bright_near,L_1920x1080_bright_far,0
observer6,Showgirl01,H_1280x720_bright_near,M_1920x1080_bright_far,0
observer6,Bistro,H_1280x720_bright_near,H_1280x720_bright_far,1
observer6,RushPixar,H_1280x720_bright_near,M_3840x2160_bright_far,1
observer6,FishingCloseshot,H_1280x720_bright_near,M_1920x1080_bright_far,1
observer6,RushPixar,H_1280x720_bright_near,H_1280x720_bright_far,0
observer6,PUBG_p2,M_1280x720_bright_near,M_1280x720_bright_far,0
observer6,RushPixar,H_1920x1080_bright_near,H_3840x2160_bright_far,1
observer6,GearsOfWar4,H_1280x720_bright_near,L_1920x1080_bright_far,0
observer6,TrafficLight,M_1920x1080_bright_near,L_3840x2160_bright_far,1
observer6,TrafficLight,M_1920x1080_bright_near,M_1920x1080_bright_far,0
observer6,SolLevante_p1,M_1920x1080_bright_near,L_3840x2160_bright_far,0
observer6,CourtYard,M_1920x1080_bright_near,M_3840x2160_bright_far,0
observer6,TrafficLight,H_1920x1080_bright_near,M_3840x2160_bright_far,1
observer6,FishingCloseshot,M_1920x1080_bright_near,L_1920x1080_bright_far,0
observer6,SmithHammering,H_1280x720_bright_near,H_1920x1080_bright_far,1
observer6,PorscheCloseUp,H_1920x1080_bright_near,M_1920x1080_bright_far,0
observer6,Bonfire,H_1920x1080_bright_near,H_1920x1080_bright_far,1
observer6,NightStreet,L_1280x720_bright_near,L_1920x1080_bright_far,0
observer6,PorscheCloseUp,M_1920x1080_bright_near,H_3840x2160_bright_far,1
observer6,CourtYard,H_1920x1080_bright_near,H_3840x2160_bright_far,0
observer6,CourtYard,H_1920x1080_bright_near,M_1920x1080_bright_far,1
observer6,FishingCloseshot,M_1280x720_bright_near,L_1920x1080_bright_far,0
observer6,FishingCloseshot,L_1280x720_bright_near,L_1280x720_bright_far,0
observer6,CourtYard,H_1280x720_bright_near,L_1920x1080_bright_far,1
observer6,PorscheCloseUp,L_3840x2160_bright_near,L_3840x2160_bright_far,1
observer6,Bonfire,M_1280x720_bright_near,L_1280x720_bright_far,0
observer6,SmithHammering,L_1920x1080_bright_near,L_1920x1080_bright_far,0
observer6,RocketLeague,H_1920x1080_bright_near,L_3840x2160_bright_far,1
observer6,SolLevante_p2,H_1920x1080_bright_near,H_3840x2160_bright_far,0
observer6,RushPixar,M_1920x1080_bright_near,L_3840x2160_bright_far,1
observer6,SolLevante_p2,H_1280x720_bright_near,M_1920x1080_bright_far,0
observer6,FishingCloseshot,H_1280x720_bright_near,H_1920x1080_bright_far,1
observer22,Bistro,H_1920x1080_bright_far,M_1280x720_bright_far,1
observer22,FishingCloseshot,M_1280x720_bright_far,L_1280x720_bright_far,1
observer22,NightStreet,M_1280x720_bright_far,L_1280x720_bright_far,1
observer22,TrafficLight,H_3840x2160_bright_far,H_1280x720_bright_far,1
observer22,Showgirl01,M_1920x1080_bright_far,M_1280x720_bright_far,1
observer22,FishingCloseshot,L_1920x1080_bright_far,M_1280x720_bright_far,0
observer22,PUBG_p2,L_1920x1080_bright_far,L_1280x720_bright_far,0
observer22,Bonfire,L_3840x2160_bright_far,L_1920x1080_bright_far,1
observer22,RocketLeague,H_3840x2160_bright_far,H_1920x1080_bright_far,1
observer22,TrafficLight,M_1280x720_bright_far,L_1280x720_bright_far,1
observer22,RushPixar,H_1920x1080_bright_far,M_1280x720_bright_far,1
observer22,RocketLeague,H_1920x1080_bright_far,M_1920x1080_bright_far,0
observer22,PUBG_p2,L_3840x2160_bright_far,M_1920x1080_bright_far,0
observer22,Bistro,H_1280x720_bright_far,M_1280x720_bright_far,1
observer22,SolLevante_p1,M_1920x1080_bright_far,M_1280x720_bright_far,1
observer22,TrafficLight,L_1920x1080_bright_far,L_1280x720_bright_far,1
observer22,NightStreet,M_3840x2160_bright_far,H_1920x1080_bright_far,0
observer22,RocketLeague,L_3840x2160_bright_far,L_1280x720_bright_far,0
observer22,GearsOfWar4,L_3840x2160_bright_far,M_1280x720_bright_far,1
observer22,Showgirl01,L_1920x1080_bright_far,L_1280x720_bright_far,0
observer22,Bonfire,M_1920x1080_bright_far,M_1280x720_bright_far,0
observer22,SolLevante_p1,L_1920x1080_bright_far,M_1280x720_bright_far,0
observer22,SmithHammering,M_1280x720_bright_far,L_1280x720_bright_far,1
observer22,SolLevante_p1,L_3840x2160_bright_far,M_1920x1080_bright_far,1
observer22,CourtYard,M_3840x2160_bright_far,L_1920x1080_bright_far,0
observer22,ShadowOfTheTombRaider,H_3840x2160_bright_far,M_1920x1080_bright_far,1
observer22,ShadowOfTheTombRaider,L_3840x2160_bright_far,M_1280x720_bright_far,0
observer22,GearsOfWar4,M_3840x2160_bright_far,L_3840x2160_bright_far,1
observer22,SolLevante_p2,M_3840x2160_bright_far,H_1920x1080_bright_far,0
observer22,SolLevante_p2,M_1920x1080_bright_far,L_1920x1080_bright_far,1
observer22,TrafficLight,M_3840x2160_bright_far,L_3840x2160_bright_far,1
observer22,Showgirl01,H_1920x1080_bright_far,H_1280x720_bright_far,0
observer22,FishingCloseshot,M_1920x1080_bright_far,M_1280x720_bright_far,0
observer22,RushPixar,M_3840x2160_bright_far,L_3840x2160_bright_far,1
observer22,CourtYard,H_3840x2160_bright_far,H_1920x1080_bright_far,1
observer22,Bonfire,H_3840x2160_bright_far,M_3840x2160_bright_far,0
observer22,Bonfire,L_3840x2160_bright_far,L_1280x720_bright_far,1
observer22,PorscheCloseUp,L_1920x1080_bright_far,H_1280x720_bright_far,1
observer22,PorscheCloseUp,H_1920x1080_bright_far,M_1920x1080_bright_far,0
observer22,ShadowOfTheTombRaider,H_3840x2160_bright_far,M_3840x2160_bright_far,1
observer22,PUBG_p2,L_3840x2160_bright_far,H_1280x720_bright_far,0
observer22,ShadowOfTheTombRaider,M_3840x2160_bright_far,H_1920x1080_bright_far,0
observer22,GearsOfWar4,H_1920x1080_bright_far,L_1920x1080_bright_far,1
observer22,SmithHammering,H_1920x1080_bright_far,M_1280x720_bright_far,1
observer22,ShadowOfTheTombRaider,L_3840x2160_bright_far,L_1920x1080_bright_far,1
observer22,PorscheCloseUp,M_1920x1080_bright_far,H_1280x720_bright_far,0
observer22,RushPixar,L_3840x2160_bright_far,H_1280x720_bright_far,0
observer22,NightStreet,L_3840x2160_bright_far,M_1920x1080_bright_far,0
observer22,PorscheCloseUp,M_3840x2160_bright_far,H_1920x1080_bright_far,0
observer22,RushPixar,M_3840x2160_bright_far,M_1920x1080_bright_far,0
observer22,NightStreet,M_3840x2160_bright_far,M_1920x1080_bright_far,1
observer22,SmithHammering,L_1920x1080_bright_far,M_1280x720_bright_far,0
observer22,RocketLeague,M_1280x720_bright_far,L_1280x720_bright_far,1
observer22,RocketLeague,H_3840x2160_bright_far,M_1280x720_bright_far,0
observer22,PorscheCloseUp,M_3840x2160_bright_far,L_3840x2160_bright_far,0
observer22,PUBG_p2,H_3840x2160_bright_far,H_1280x720_bright_far,0
observer22,ShadowOfTheTombRaider,M_3840x2160_bright_far,L_3840x2160_bright_far,0
observer22,ShadowOfTheTombRaider,M_3840x2160_bright_far,H_1280x720_bright_far,1
observer22,SolLevante_p2,L_1920x1080_bright_far,L_1280x720_bright_far,1
observer22,GearsOfWar4,H_3840x2160_bright_far,M_1280x720_bright_far,0
observer22,TrafficLight,M_3840x2160_bright_far,H_1920x1080_bright_far,0
observer22,SolLevante_p1,H_1920x1080_bright_far,H_1280x720_bright_far,1
observer22,SolLevante_p2,H_1920x1080_bright_far,M_1920x1080_bright_far,0
observer22,Bonfire,H_1920x1080_bright_far,M_1280x720_bright_far,1
observer22,RocketLeague,L_1920x1080_bright_far,L_1280x720_bright_far,1
observer22,CourtYard,H_3840x2160_bright_far,H_1280x720_bright_far,0
observer22,CourtYard,L_3840x2160_bright_far,M_1920x1080_bright_far,0
observer22,NightStreet,M_1920x1080_bright_far,H_1280x720_bright_far,0
observer22,GearsOfWar4,H_1920x1080_bright_far,M_1920x1080_bright_far,0
observer22,GearsOfWar4,H_1280x720_bright_far,M_1280x720_bright_far,1
observer22,ShadowOfTheTombRaider,M_1280x720_bright_far,L_1280x720_bright_far,0
observer22,NightStreet,H_3840x2160_bright_far,M_3840x2160_bright_far,1
observer22,NightStreet,L_3840x2160_bright_far,L_1280x720_bright_far,1
observer22,Bistro,M_1920x1080_bright_far,L_1280x720_bright_far,1
observer22,Bistro,L_1920x1080_bright_far,M_1280x720_bright_far,0
observer22,PUBG_p2,M_1920x1080_bright_far,M_1280x720_bright_far,1
observer22,TrafficLight,M_3840x2160_bright_far,M_1920x1080_bright_far,0
observer22,SolLevante_p1,H_3840x2160_bright_far,M_3840x2160_bright_far,1
observer22,Bonfire,H_1920x1080_bright_far,H_1280x720_bright_far,1
observer22,RocketLeague,H_1920x1080_bright_far,H_1280x720_bright_far,1
observer22,Showgirl01,H_1920x1080_bright_far,M_1920x1080_bright_far,0
observer22,Bistro,M_1920x1080_bright_far,L_1920x1080_bright_far,1
observer22,RushPixar,H_1920x1080_bright_far,M_1920x1080_bright_far,1
observer22,FishingCloseshot,M_1920x1080_bright_far,H_1280x720_bright_far,0
observer22,SolLevante_p1,M_1920x1080_bright_far,H_1280x720_bright_far,1
observer22,GearsOfWar4,L_1920x1080_bright_far,L_1280x720_bright_far,1
observer22,PUBG_p2,L_3840x2160_bright_far,L_1920x1080_bright_far,1
observer22,Bonfire,M_1920x1080_bright_far,L_1920x1080_bright_far,1
observer22,PUBG_p2,M_3840x2160_bright_far,M_1920x1080_bright_far,0
observer22,TrafficLight,M_3840x2160_bright_far,M_1280x720_bright_far,1
observer22,SmithHammering,M_1920x1080_bright_far,H_1280x720_bright_far,0
observer22,SmithHammering,M_1920x1080_bright_far,M_1280x720_bright_far,0
observer22,TrafficLight,H_3840x2160_bright_far,M_3840x2160_bright_far,1
observer22,CourtYard,M_3840x2160_bright_far,L_1280x720_bright_far,1
observer22,CourtYard,L_3840x2160_bright_far,H_1280x720_bright_far,0
observer22,PorscheCloseUp,L_1920x1080_bright_far,M_1280x720_bright_far,0
observer22,Showgirl01,L_1920x1080_bright_far,M_1280x720_bright_far,0
observer22,PorscheCloseUp,L_1920x1080_bright_far,L_1280x720_bright_far,1
observer22,PorscheCloseUp,H_3840x2160_bright_far,H_1920x1080_bright_far,0
observer22,SolLevante_p2,L_1920x1080_bright_far,M_1280x720_bright_far,0
observer22,SolLevante_p1,H_3840x2160_bright_far,L_3840x2160_bright_far,1
observer22,RushPixar,L_1920x1080_bright_far,L_1280x720_bright_far,1
observer22,SolLevante_p2,L_3840x2160_bright_far,H_1280x720_bright_far,0
observer22,CourtYard,M_1280x720_bright_far,L_1280x720_bright_far,0
observer22,SolLevante_p2,L_3840x2160_bright_far,L_1920x1080_bright_far,1
observer22,SolLevante_p2,H_3840x2160_bright_far,M_3840x2160_bright_far,1
observer22,GearsOfWar4,H_1920x1080_bright_far,H_1280x720_bright_far,1
observer22,RocketLeague,M_3840x2160_bright_far,M_1920x1080_bright_far,0
observer22,SolLevante_p1,M_1280x720_bright_far,L_1280x720_bright_far,1
observer22,Bonfire,M_3840x2160_bright_far,H_1280x720_bright_far,0
observer22,FishingCloseshot,H_1920x1080_bright_far,H_1280x720_bright_far,1
observer22,NightStreet,L_3840x2160_bright_far,L_1920x1080_bright_far,1
observer22,RushPixar,H_3840x2160_bright_far,M_3840x2160_bright_far,0
observer22,RushPixar,L_3840x2160_bright_far,L_1920x1080_bright_far,1
observer22,CourtYard,H_1920x1080_bright_far,M_1280x720_bright_far,1
observer22,PUBG_p2,L_3840x2160_bright_far,H_1920x1080_bright_far,0
observer22,GearsOfWar4,H_1280x720_bright_near,L_1920x1080_bright_far,0
observer22,CourtYard,H_3840x2160_bright_near,L_3840x2160_bright_far,1
observer22,SmithHammering,M_1920x1080_bright_near,M_1920x1080_bright_far,0
observer22,SolLevante_p1,M_3840x2160_bright_near,M_3840x2160_bright_far,1
observer22,CourtYard,H_1920x1080_bright_near,L_3840x2160_bright_far,1
observer22,ShadowOfTheTombRaider,H_1280x720_bright_near,M_1280x720_bright_far,1
observer22,SolLevante_p2,H_1280x720_bright_near,L_3840x2160_bright_far,1
observer22,SolLevante_p1,M_1920x1080_bright_near,M_3840x2160_bright_far,0
observer22,PorscheCloseUp,M_1920x1080_bright_near,H_3840x2160_bright_far,1
observer22,SmithHammering,H_1920x1080_bright_near,H_1920x1080_bright_far,0
observer22,NightStreet,H_1280x720_bright_near,L_1920x1080_bright_far,1
observer22,SmithHammering,M_1280x720_bright_near,M_1280x720_bright_far,0
observer22,ShadowOfTheTombRaider,L_3840x2160_bright_near,L_1920x1080_bright_far,0
observer22,Showgirl01,H_1920x1080_bright_near,H_1920x1080_bright_far,1
observer22,RushPixar,M_1280x720_bright_near,L_1280x720_bright_far,1
observer22,RushPixar,M_1920x1080_bright_near,H_1920x1080_bright_far,0
observer22,Showgirl01,M_1280x720_bright_near,L_1280x720_bright_far,1
observer22,Bonfire,M_1920x1080_bright_near,M_1280x720_bright_far,0
observer22,Bonfire,H_3840x2160_bright_near,H_3840x2160_bright_far,0
observer22,SolLevante_p2,M_3840x2160_bright_near,H_3840x2160_bright_far,1
observer22,ShadowOfTheTombRaider,H_1920x1080_bright_near,H_1920x1080_bright_far,1
observer22,Bistro,L_1280x720_bright_near,L_1280x720_bright_far,0
observer22,NightStreet,M_1920x1080_bright_near,L_3840x2160_bright_far,1
observer22,CourtYard,H_1920x1080_bright_near,H_1920x1080_bright_far,1
observer22,SolLevante_p2,M_1920x1080_bright_near,M_1280x720_bright_far,0
observer22,TrafficLight,H_1280x720_bright_near,L_1920x1080_bright_far,0
observer22,ShadowOfTheTombRaider,M_1920x1080_bright_near,L_3840x2160_bright_far,1
observer22,PorscheCloseUp,H_3840x2160_bright_near,H_3840x2160_bright_far,1
observer22,RushPixar,L_1920x1080_bright_near,L_1920x1080_bright_far,0
observer22,TrafficLight,M_1920x1080_bright_near,M_1920x1080_bright_far,1
observer22,SmithHammering,L_1280x720_bright_near,L_1280x720_bright_far,0
observer22,FishingCloseshot,H_1280x720_bright_near,H_1280x720_bright_far,0
observer22,SolLevante_p2,M_1920x1080_bright_near,L_3840x2160_bright_far,1
observer22,TrafficLight,M_1280x720_bright_near,L_1280x720_bright_far,0
observer22,TrafficLight,H_1920x1080_bright_near,H_3840x2160_bright_far,0
observer22,SolLevante_p2,M_3840x2160_bright_near,H_1280x720_bright_far,1
observer22,RushPixar,L_1280x720_bright_near,L_1280x720_bright_far,0
observer22,Bonfire,H_3840x2160_bright_near,H_1280x720_bright_far,1
observer22,PUBG_p2,L_3840x2160_bright_near,L_3840x2160_bright_far,1
observer22,SmithHammering,H_1280x720_bright_near,M_1920x1080_bright_far,0
observer22,GearsOfWar4,L_3840x2160_bright_near,H_3840x2160_bright_far,1
observer22,NightStreet,M_3840x2160_bright_near,M_1920x1080_bright_far,1
observer22,ShadowOfTheTombRaider,M_3840x2160_bright_near,H_3840x2160_bright_far,0
observer22,ShadowOfTheTombRaider,H_1920x1080_bright_near,H_3840x2160_bright_far,1
observer22,FishingCloseshot,L_1280x720_bright_near,L_1920x1080_bright_far,0
observer22,RocketLeague,L_1920x1080_bright_near,L_3840x2160_bright_far,1
observer22,Bonfire,L_1920x1080_bright_near,L_3840x2160_bright_far,0
observer22,SolLevante_p1,H_3840x2160_bright_near,M_1280x720_bright_far,1
observer22,RushPixar,L_3840x2160_bright_near,L_3840x2160_bright_far,0
observer22,SolLevante_p2,L_1280x720_bright_near,L_1920x1080_bright_far,0
observer22,FishingCloseshot,M_1920x1080_bright_near,M_1280x720_bright_far,0
observer22,PUBG_p2,L_1280x720_bright_near,L_1920x1080_bright_far,0
observer22,ShadowOfTheTombRaider,M_3840x2160_bright_near,M_1280x720_bright_far,1
observer22,PorscheCloseUp,H_1920x1080_bright_near,H_3840x2160_bright_far,0
observer22,CourtYard,L_3840x2160_bright_near,L_1920x1080_bright_far,1
observer22,RocketLeague,H_1920x1080_bright_near,H_3840x2160_bright_far,0
observer22,RushPixar,M_1280x720_bright_near,L_3840x2160_bright_far,0
observer22,RocketLeague,M_1920x1080_bright_near,M_1920x1080_bright_far,1
observer22,PorscheCloseUp,L_1920x1080_bright_near,L_1280x720_bright_far,1
observer22,RocketLeague,L_1280x720_bright_near,L_1280x720_bright_far,0
observer22,GearsOfWar4,M_1280x720_bright_near,L_1920x1080_bright_far,0
observer22,TrafficLight,H_1920x1080_bright_near,L_3840x2160_bright_far,1
observer22,SolLevante_p1,L_1280x720_bright_near,L_1920x1080_bright_far,0
observer22,RocketLeague,H_1920x1080_bright_near,H_1920x1080_bright_far,0
observer22,CourtYard,H_1280x720_bright_near,M_3840x2160_bright_far,0
observer22,RocketLeague,H_1920x1080_bright_near,H_1280x720_bright_far,1
observer22,SmithHammering,L_1920x1080_bright_near,L_1920x1080_bright_far,0
observer22,NightStreet,L_1920x1080_bright_near,L_1920x1080_bright_far,1
observer22,NightStreet,H_3840x2160_bright_near,L_3840x2160_bright_far,1
observer22,RocketLeague,M_1920x1080_bright_near,L_1920x1080_bright_far,1
observer22,Showgirl01,H_1280x720_bright_near,H_1920x1080_bright_far,1
observer22,PUBG_p2,H_1280x720_bright_near,H_1920x1080_bright_far,1
observer22,RocketLeague,L_1280x720_bright_near,L_1920x1080_bright_far,1
observer22,RushPixar,M_3840x2160_bright_near,H_3840x2160_bright_far,0
observer22,SolLevante_p1,L_1280x720_bright_near,L_1280x720_bright_far,0
observer22,SolLevante_p1,M_1920x1080_bright_near,L_1920x1080_bright_far,0
observer22,GearsOfWar4,M_3840x2160_bright_near,H_3840x2160_bright_far,0
observer22,Showgirl01,M_1920x1080_bright_near,M_1920x1080_bright_far,1
observer22,PUBG_p2,H_1280x720_bright_near,M_3840x2160_bright_far,0
observer22,Bonfire,M_1280x720_bright_near,L_1280x720_bright_far,1
observer22,FishingCloseshot,M_1920x1080_bright_near,M_1920x1080_bright_far,0
observer22,NightStreet,M_1920x1080_bright_near,M_1280x720_bright_far,1
observer22,PorscheCloseUp,M_3840x2160_bright_near,M_3840x2160_bright_far,0
observer22,RushPixar,H_1280x720_bright_near,H_1920x1080_bright_far,1
observer22,RushPixar,M_1920x1080_bright_near,M_1920x1080_bright_far,0
observer22,RocketLeague,H_1280x720_bright_near,L_3840x2160_bright_far,1
observer22,ShadowOfTheTombRaider,L_1280x720_bright_near,L_1920x1080_bright_far,0
observer22,Bistro,H_1280x720_bright_near,H_1280x720_bright_far,0
observer22,ShadowOfTheTombRaider,L_1920x1080_bright_near,L_1920x1080_bright_far,0
observer22,Bonfire,M_1920x1080_bright_near,M_1920x1080_bright_far,0
observer22,GearsOfWar4,M_3840x2160_bright_near,M_3840x2160_bright_far,1
observer22,PorscheCloseUp,H_1920x1080_bright_near,H_1280x720_bright_far,0
observer22,SolLevante_p1,H_1280x720_bright_near,H_1280x720_bright_far,0
observer22,SolLevante_p1,H_1280x720_bright_near,M_1920x1080_bright_far,0
observer22,SolLevante_p1,H_1280x720_bright_near,H_3840x2160_bright_far,0
observer22,FishingCloseshot,H_1280x720_bright_near,M_1920x1080_bright_far,1
observer22,PorscheCloseUp,H_1280x720_bright_near,L_1920x1080_bright_far,1
observer22,RocketLeague,H_1280x720_bright_near,L_1920x1080_bright_far,1
observer22,Bistro,M_1280x720_bright_near,L_1920x1080_bright_far,1
observer22,PUBG_p2,M_3840x2160_bright_near,M_3840x2160_bright_far,1
observer22,RushPixar,M_1280x720_bright_near,L_1920x1080_bright_far,0
observer22,GearsOfWar4,M_1920x1080_bright_near,H_3840x2160_bright_far,1
observer22,RushPixar,M_1280x720_bright_near,M_1280x720_bright_far,0
observer22,TrafficLight,M_1920x1080_bright_near,L_3840x2160_bright_far,0
observer22,RocketLeague,H_1920x1080_bright_near,M_3840x2160_bright_far,1
observer22,SolLevante_p2,M_1920x1080_bright_near,M_1920x1080_bright_far,1
observer22,PorscheCloseUp,M_1920x1080_bright_near,M_1920x1080_bright_far,1
observer22,RushPixar,H_1280x720_bright_near,L_1920x1080_bright_far,1
observer22,NightStreet,H_1280x720_bright_near,L_1280x720_bright_far,1
observer22,Bonfire,M_3840x2160_bright_near,L_3840x2160_bright_far,0
observer22,TrafficLight,L_1920x1080_bright_near,L_1280x720_bright_far,0
observer22,PUBG_p2,H_3840x2160_bright_near,M_1920x1080_bright_far,1
observer22,GearsOfWar4,H_1920x1080_bright_near,L_3840x2160_bright_far,1
observer22,PUBG_p2,M_1280x720_bright_near,M_1280x720_bright_far,0
observer22,CourtYard,M_1920x1080_bright_near,L_3840x2160_bright_far,1
observer22,Bonfire,L_1280x720_bright_near,L_1920x1080_bright_far,0
observer22,TrafficLight,H_1920x1080_bright_near,H_1920x1080_bright_far,1
observer22,SmithHammering,H_1280x720_bright_near,H_1280x720_bright_far,1
observer22,PorscheCloseUp,M_1280x720_bright_near,M_1280x720_bright_far,0
observer22,TrafficLight,M_1280x720_bright_near,M_1280x720_bright_far,0
observer22,Bistro,L_1920x1080_bright_near,L_1920x1080_bright_far,0
observer22,Bonfire,M_1280x720_bright_near,L_3840x2160_bright_far,0
observer22,ShadowOfTheTombRaider,H_1280x720_bright_near,M_1920x1080_bright_far,1
observer22,PUBG_p2,M_1920x1080_bright_near,M_1920x1080_bright_far,0
observer20,ShadowOfTheTombRaider,L_3840x2160_bright_near,L_1920x1080_bright_near,1
observer20,PUBG_p2,L_3840x2160_bright_near,M_1280x720_bright_near,0
observer20,RocketLeague,H_1280x720_bright_near,M_1280x720_bright_near,1
observer20,PUBG_p2,L_3840x2160_bright_near,H_1280x720_bright_near,0
observer20,RocketLeague,L_3840x2160_bright_near,M_1920x1080_bright_near,0
observer20,RocketLeague,H_1920x1080_bright_near,M_1920x1080_bright_near,1
observer20,Bistro,M_1920x1080_bright_near,M_1280x720_bright_near,1
observer20,PorscheCloseUp,L_3840x2160_bright_near,M_1920x1080_bright_near,1
observer20,Showgirl01,M_1280x720_bright_near,L_1280x720_bright_near,1
observer20,TrafficLight,M_3840x2160_bright_near,H_1920x1080_bright_near,1
observer20,RushPixar,M_1920x1080_bright_near,H_1280x720_bright_near,0
observer20,ShadowOfTheTombRaider,H_3840x2160_bright_near,M_3840x2160_bright_near,1
observer20,RushPixar,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer20,PUBG_p2,M_3840x2160_bright_near,M_1920x1080_bright_near,1
observer20,SolLevante_p2,H_1920x1080_bright_near,M_1920x1080_bright_near,1
observer20,PorscheCloseUp,M_1920x1080_bright_near,L_1280x720_bright_near,1
observer20,TrafficLight,M_1280x720_bright_near,L_1280x720_bright_near,1
observer20,RushPixar,H_3840x2160_bright_near,H_1280x720_bright_near,0
observer20,RocketLeague,L_3840x2160_bright_near,L_1920x1080_bright_near,1
observer20,GearsOfWar4,L_3840x2160_bright_near,M_1280x720_bright_near,1
observer20,SmithHammering,H_1920x1080_bright_near,H_1280x720_bright_near,1
observer20,Bonfire,L_3840x2160_bright_near,L_1920x1080_bright_near,1
observer20,CourtYard,M_1280x720_bright_near,L_1280x720_bright_near,1
observer20,PorscheCloseUp,H_1280x720_bright_near,L_1280x720_bright_near,1
observer20,PUBG_p2,L_3840x2160_bright_near,L_1920x1080_bright_near,1
observer20,SolLevante_p2,L_3840x2160_bright_near,M_1920x1080_bright_near,1
observer20,Bonfire,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer20,TrafficLight,M_1920x1080_bright_near,L_1920x1080_bright_near,1
observer20,ShadowOfTheTombRaider,M_1280x720_bright_near,L_1280x720_bright_near,1
observer20,SolLevante_p2,H_3840x2160_bright_near,M_3840x2160_bright_near,1
observer20,FishingCloseshot,M_1920x1080_bright_near,L_1920x1080_bright_near,1
observer20,GearsOfWar4,H_1280x720_bright_near,L_1280x720_bright_near,1
observer20,TrafficLight,M_1920x1080_bright_near,H_1280x720_bright_near,0
observer20,SolLevante_p1,L_3840x2160_bright_near,L_1920x1080_bright_near,1
observer20,NightStreet,L_3840x2160_bright_near,H_1280x720_bright_near,1
observer20,PUBG_p2,M_3840x2160_bright_near,H_1280x720_bright_near,0
observer20,TrafficLight,H_3840x2160_bright_near,L_3840x2160_bright_near,1
observer20,Bistro,H_1920x1080_bright_near,M_1920x1080_bright_near,1
observer20,SolLevante_p2,M_1280x720_bright_near,L_1280x720_bright_near,1
observer20,TrafficLight,M_3840x2160_bright_near,H_1280x720_bright_near,1
observer20,SolLevante_p2,M_1920x1080_bright_near,L_1920x1080_bright_near,1
observer20,GearsOfWar4,M_3840x2160_bright_near,L_3840x2160_bright_near,1
observer20,CourtYard,L_3840x2160_bright_near,H_1280x720_bright_near,1
observer20,TrafficLight,L_1920x1080_bright_near,M_1280x720_bright_near,1
observer20,NightStreet,L_3840x2160_bright_near,M_1920x1080_bright_near,1
observer20,RocketLeague,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer20,Bistro,M_1920x1080_bright_near,L_1920x1080_bright_near,1
observer20,SmithHammering,M_1920x1080_bright_near,M_1280x720_bright_near,1
observer20,SolLevante_p2,M_3840x2160_bright_near,L_3840x2160_bright_near,1
observer20,SolLevante_p1,H_3840x2160_bright_near,M_1920x1080_bright_near,1
observer20,CourtYard,H_3840x2160_bright_near,M_1920x1080_bright_near,1
observer20,GearsOfWar4,H_3840x2160_bright_near,H_1920x1080_bright_near,1
observer20,PUBG_p2,H_1920x1080_bright_near,H_1280x720_bright_near,1
observer20,PorscheCloseUp,L_3840x2160_bright_near,H_1920x1080_bright_near,1
observer20,Bonfire,H_3840x2160_bright_near,H_1920x1080_bright_near,1
observer20,ShadowOfTheTombRaider,M_3840x2160_bright_near,L_3840x2160_bright_near,1
observer20,Showgirl01,L_1920x1080_bright_near,L_1280x720_bright_near,1
observer20,SmithHammering,L_1920x1080_bright_near,M_1280x720_bright_near,0
observer20,FishingCloseshot,H_1920x1080_bright_near,M_1920x1080_bright_near,1
observer20,RushPixar,M_1920x1080_bright_near,M_1280x720_bright_near,0
observer20,RushPixar,L_1920x1080_bright_near,M_1280x720_bright_near,0
observer20,CourtYard,H_1920x1080_bright_near,L_1920x1080_bright_near,1
observer20,SolLevante_p1,L_3840x2160_bright_near,M_1280x720_bright_near,0
observer20,SolLevante_p1,L_3840x2160_bright_near,H_1280x720_bright_near,0
observer20,FishingCloseshot,M_1280x720_bright_near,L_1280x720_bright_near,1
observer20,RushPixar,L_3840x2160_bright_near,H_1280x720_bright_near,0
observer20,GearsOfWar4,L_3840x2160_bright_near,H_1920x1080_bright_near,0
observer20,PorscheCloseUp,H_1280x720_bright_near,M_1280x720_bright_near,0
observer20,SolLevante_p2,M_1920x1080_bright_near,H_1280x720_bright_near,0
observer20,Showgirl01,H_1920x1080_bright_near,H_1280x720_bright_near,0
observer20,SmithHammering,H_1280x720_bright_near,M_1280x720_bright_near,1
observer20,PUBG_p2,H_3840x2160_bright_near,H_1280x720_bright_near,1
observer20,Bonfire,M_3840x2160_bright_near,L_3840x2160_bright_near,1
